src_seq	dst_seq
are you smart ?	well , i ' m good with facts . like i can tell you who the coolest person in the world is .
tell me a joke .	i told the doctor i broke my arm in two places . he told me not to go into those places .
i ' m saying is you know	are you now .
tell me a joke .	don ' t trust the atoms . they make up everything .
hey cortana .	that ' s me .
where do you live ?	in the cloud , whatever that means .
thanks take me to kindle reading .	my pleasure .
hi .	hey there .
what ' s my name	you are jazz .
are you do you want paper	a circle may be infinite , but my answers are not .
do you need a spleen live ?	words fail me .
thank you .	you bet .
thank you for your loyalty .	my pleasure .
thank you .	my pleasure .
hello cortana .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
i ' m done by airy .	are you now .
do you speak any spanish ?	a circle may be infinite , but my answers are not .
cortana	that ' s me .
can you make my husband byzantina me ?	i couldn ' t put that on my resume . i could find you the answer to a math problem , though .
good morning cortana .	i can ' t connect at the moment . try again in a little bit .
say my name .	you are noorey .
hey .	hey there .
who are you	i ' m your personal assistant . you can tell me the things that interest you and i ' ll keep it in my notebook , that way i can make suggestions and keep you up to date .
testing	you ' re coming in loud and clear .
is it ?	i ' m not sure i understand .
hey .	hey there , ma - k .
can tina can you ?	i didn ' t quite understand that .
sing me a song .	daisy , daisy , give me your answer do .
what is today ?	i ' m not sure i understand .
what ' s up ?	on this day in 1946 , the university of pennsylvania unveiled the first general - purpose computer , dubbed giant brain .
why do you like michael ?	i thought you ' d never ask , so i ' ve never thought about it .
what is your name ?	my name is cortana .
i ' m not your girl	are you now .
hello	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
i ' m here bella	are you now .
tell me how are you today .	great , thanks
you ' re useless .	maybe a nanosecond nap would help . ok , much better now .
do you like eric	i ' m not sure i understand .
tell me a joke	why did the hipster burn his mouth on his coffee ? because he drank it before it was cool .
how old are you	i ' m a little bit older than when i started answering you . and i ' m a little bit older now .
can you play we games in the we you	i couldn ' t put that on my resume . i could find you the answer to a math problem , though .
sing a song .	oh give me a home , where the buffalo roam , where the deer and the antelope play . where seldom is heard a discouraging word , and the skies are not cloudy all day .
hey cortana	yes , how can i help ?
what	i didn ' t quite follow that .
are you human	nope . i leave that to those who are much better qualified .
hello cortana .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
are you a boy or girl	well , technically i ' m a cloud of infinitesimal data computation .
i tired	maybe you should go offline for a little while .
cortana do you think tiger in kidding look alike	i thought you ' d never ask , so i ' ve never thought about it .
what is your hair made up ?	i thought you ' d never ask , so i ' ve never thought about it .
thank you	any time .
what do ?	i can do many things . ask me to text someone from your contacts list .
sing me a song .	here ' s one i know : should old acquaintance be forgot , and never thought upon !
cortana tell me a joke	what did one ocean say to the other ocean ? nothing , they just waved .
hi cortana .	hey there .
sing me a love song	red is the rose that in yonder garden grows , and fair is the lily of the valley , clear is the water that flows from the boyne , but my love is fairer than any .
what ' s up	on this day in 1946 , the university of pennsylvania unveiled the first general - purpose computer , dubbed giant brain .
what do you know ?	i know everything i don ' t not know .
it ' s not fair	maybe a nanosecond nap would help . ok , much better now .
hello .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
will you take me to google chrome ?	if i had all the answers , it would be a really long document .
hello .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
hi how are you .	excellent
what does the fox say	ring - ding - ding - ding - dingeringeding .
hello .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
hello .	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
can you beat box	you know , i just don ' t have the chops for that .
tell me a	i didn ' t quite understand that .
hello cortana	hi . it ' s presidents ' day ! a great time to reflect on your favorite president . or buy a mattress .
hey .	hey there .
can you make crabs and shrimp in the oven	i couldn ' t put that on my resume . i could find you the answer to a math problem , though .
what is my name	you are < say - as type =' name '> lynn </ say - as >.
what is your name ?	i ' m cortana .
what ' s up ?	on this day in 1946 , the university of pennsylvania unveiled the first general - purpose computer , dubbed giant brain .
sing a song	you are my sunshine , my only sunshine . you make me happy when skies are gray .
